name,category,
matches_distance,astrometry,
matches_ra_calib_astrometry_used,astrometry,
matches_distance_calib_astrometry_used,astrometry,
diff_dec,astrometry,
matches_dec,astrometry,
matches_raCosDec_calib_astrometry_used,astrometry,
matches_raCosDec,astrometry,
diff_raCosDec,astrometry,
diff_y,astrometry,
matches_dec_calib_astrometry_used,astrometry,
diff_x,astrometry,
matches_ra,astrometry,
diff_ra,astrometry,
base_SdssCentroid_y,astrometry,
overlap_distance_forced,astrometry,
overlap_distance_unforced,astrometry,
rizCModel,color,
rizPSF,color,
griDistanceCModel,color,
izyDistanceCModel,color,
color_wPerp,color,
rizCModel-yFit,color,
galacticExtinction_HSC-Y,color,
rizDistancePSF,color,
izyDistancePSF,color,
griPSF-xPerpSelections,color,
griCModel,color,
galacticExtinction_HSC-Z,color,
griPSF-wPerpSelections,color,
rizPSF-yFit,color,
color_yPerp,color,
izyPSF,color,
griPSF-xFit,color,
griCModel-wFit,color,
z9yPSF,color,
galacticExtinction_HSC-G,color,
color_xPerp,color,
z9yDistancePSF,color,
z9yCModel,color,
izyCModel,color,
galacticExtinction_HSC-I,color,
rizDistanceCModel,color,
griPSF,color,
griCModel-xFit,color,
griDistancePSF,color,
galacticExtinction_HSC-R,color,
rizPSF-yPerpSelections,color,
z9yDistanceCModel,color,
griPSF-wFit,color,
galacticExtinction_NB0921,color,
inputCounts-tract,other,
diff_base_CircularApertureFlux_12_0,photometry,
diff_footNpix_calib_psf_used,photometry,
matches_CircApRad12pix_mag,photometry,
diff_ext_photometryKron_KronFlux_apCorr,photometry,
mag_base_GaussianFlux_unforced,photometry,
base_PsfFluxSn_raw,photometry,
mag_base_CircularApertureFlux_12_0,photometry,
matches_PSF_mag_calib_psf_used,photometry,
diff_base_CircularApertureFlux_12_0_commonZp,photometry,
mag_base_GaussianFlux,photometry,
mag_base_GaussianFlux_commonZp,photometry,
diff_base_GaussianFlux,photometry,
footNpix_calib_psf_used,photometry,
base_PsfFlux_raw,photometry,
diff_base_GaussianFlux_commonZp,photometry,
matches_CircApRad12pix_mag_calib_psf_used,photometry,
matches_PSF_mag,photometry,
matches_CircApRad12pix_mag_calib_photometry_used,photometry,
diff_base_PsfFlux_apCorr,photometry,
diff_ext_photometryKron_KronFlux,photometry,
mag_base_CircularApertureFlux_12_0_commonZp,photometry,
diff_base_GaussianFlux_apCorr,photometry,
mag_base_CircularApertureFlux_12_0_commonZp_calib_psf_used,photometry,
compareUnforced_modelfit_CModel,photometry,
mag_base_CircularApertureFlux_12_0_calib_psf_used,photometry,
base_PsfFlux_cal,photometry,
mag_ext_photometryKron_KronFlux,photometry,
diff_base_PsfFlux,photometry,
footNpix,photometry,
mag_base_CircularApertureFlux_12_0_forced,photometry,
overlap_modelfit_CModel_unforced,photometry,
base_PsfFluxSn_cal,photometry,
mag_base_GaussianFlux_forced,photometry,
diff_footNpix,photometry,
mag_modelfit_CModel_unforced,photometry,
compareUnforced_ext_photometryKron_KronFlux,photometry,
matches_PSF_mag_calib_photometry_used,photometry,
pStar,photometry,
diff_modelfit_CModel_apCorr,photometry,
overlap_modelfit_CModel_forced,photometry,
mag_base_CircularApertureFlux_12_0_unforced,photometry,
mag_base_CircularApertureFlux_12_0_unforced_calib_psf_used,photometry,
mag_modelfit_CModel_forced,photometry,
compareUnforced_base_GaussianFlux,photometry,
diff_modelfit_CModel,photometry,
mag_ext_photometryKron_KronFlux_forced,photometry,
mag_base_CircularApertureFlux_12_0_forced_calib_psf_used,photometry,
mag_ext_photometryKron_KronFlux_unforced,photometry,
compareUnforced_base_CircularApertureFlux_12_0,photometry,
skyObjects,photometry,
sdssYy,shape,
deconvMom,shape,
hsmTrace,shape,
e1ResidsHsm,shape,
e1ResidsHsmRegauss,shape,
diff_resolution,shape,
trace_calib_psf_used,shape,
hsmTrace_calib_psf_used,shape,
e2ResidsHsm,shape,
base_SdssCentroid_x,shape,
psfHsmTraceDiff,shape,
trace,shape,
resolution,shape,
diff_HsmShapeRegauss_e2,shape,
sdssXx,shape,
diff_HsmShapeRegauss_e1,shape,
e2ResidsHsmRegauss,shape,
psfTrace_calib_psf_used,shape,
e2Resids,shape,
Rho_all_stars2,shape,
psfTraceDiff,shape,
e1ResidsHsmRegauss_unforced,shape,
Rho_all_stars1,shape,
Rho_calib_psf_used1,shape,
psfTrace,shape,
hsmRho_all_stars1,shape,
ellipResids,shape,
hsmRho_calib_psf_used2,shape,
hsmRho_all_stars2,shape,
Rho_calib_psf_used2,shape,
psfHsmTraceDiff_unforced,shape,
hsmRho_calib_psf_used1,shape,
e1Resids,shape,
hsmTrace_unforced,shape,
trace_unforced,shape,
e2ResidsHsmRegauss_unforced,shape,
e1ResidsHsm_unforced,shape,
e2ResidsHsm_unforced,shape,
trace_unforced_calib_psf_used,shape,
hsmTrace_unforced_calib_psf_used,shape,
psfTraceDiff_unforced,shape,
e1Resids_unforced,shape,
e2Resids_unforced,shape,
