name,category,
matches_distance,astrometry,
matches_ra_calib_astrometry_used,astrometry,
matches_distance_calib_astrometry_used,astrometry,
diff_dec,astrometry,
matches_dec,astrometry,
matches_raCosDec_calib_astrometry_used,astrometry,
matches_raCosDec,astrometry,
diff_raCosDec,astrometry,
diff_y,astrometry,
matches_dec_calib_astrometry_used,astrometry,
diff_x,astrometry,
matches_ra,astrometry,
matches_PSF,astrometry,
matches_CircApRad12pix_mag_calib_astrometry_used,astrometry
footArea_calib_psf_used,photometry
footArea,photometry
diff_footArea,photometry
matches_PSF_mag_calib_astrometry_used,astrometry
matches_CircApRad12pix,photometry
diff_footArea_calib_psf_used,photometry
